trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
192,False,"{'a': 0.55, 'e': 0.14660696213035015}",20,0,-82.1835410139811,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
193,False,"{'a': 0.55, 'e': 0.14514819848362373}",35,12,-34.01151598735036,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 0}",1
194,False,"{'a': 0.55, 'e': 0.14370394977770293}",35,20,-70.68502978733164,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 1}",1
195,False,"{'a': 0.55, 'e': 0.1422740715865136}",20,5,-10.048142077575102,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
196,False,"{'a': 0.55, 'e': 0.140858420921045}",25,20,8.724258149145538,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.55, 'e': 0.13945685621505094}",20,10,15.47597121585809,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.55, 'e': 0.13806923731089282}",20,0,-37.0593876187724,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
199,False,"{'a': 0.55, 'e': 0.13669542544552385}",20,0,-73.61450489993261,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
200,False,"{'a': 0.55, 'e': 0.1353352832366127}",25,0,-176.88376356493083,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 3}",0
201,False,"{'a': 0.55, 'e': 0.13398867466880493}",30,21,-2.0562452946259815,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
202,False,"{'a': 0.55, 'e': 0.13265546508012172}",25,5,-109.14060865442639,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",1
203,False,"{'a': 0.55, 'e': 0.13133552114849303}",25,5,-58.81018622200471,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
204,False,"{'a': 0.55, 'e': 0.1300287108784259}",35,3,-306.16378577615285,"{0: 16, 1: 3, 2: 5, 3: 3, 4: 5}",1
205,False,"{'a': 0.55, 'e': 0.12873490358780423}",30,23,-1.149984388909913,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
206,False,"{'a': 0.55, 'e': 0.12745396989482075}",20,16,6.505212488469526,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.55, 'e': 0.12618578170503877}",25,7,-65.86628019946976,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 1}",1
208,False,"{'a': 0.55, 'e': 0.12493021219858241}",20,0,-63.35245934970771,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
209,False,"{'a': 0.55, 'e': 0.12368713581745483}",25,12,-43.97555489475423,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
210,False,"{'a': 0.55, 'e': 0.1224564282529819}",20,8,-20.83947780260263,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
211,False,"{'a': 0.55, 'e': 0.12123796643338168}",25,15,7.100754112476023,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
212,False,"{'a': 0.55, 'e': 0.12003162851145673}",20,9,-23.505855360045047,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
213,False,"{'a': 0.55, 'e': 0.11883729385240965}",20,4,21.73009358497546,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.55, 'e': 0.11765484302177918}",20,7,-43.36971704148698,"{0: 10, 1: 0, 2: 0, 3: 3, 4: 0}",1
215,False,"{'a': 0.55, 'e': 0.11648415777349697}",25,10,-68.84707479896156,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
216,False,"{'a': 0.55, 'e': 0.11532512103806251}",25,3,-141.38471319220227,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 2}",1
217,False,"{'a': 0.55, 'e': 0.1141776169108365}",20,0,-62.59636036111018,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
218,False,"{'a': 0.55, 'e': 0.11304153064044985}",25,13,-3.646487294605019,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
219,False,"{'a': 0.55, 'e': 0.11191674861732888}",20,1,-151.22839215533202,"{0: 13, 1: 0, 2: 1, 3: 2, 4: 3}",1
220,False,"{'a': 0.55, 'e': 0.11080315836233387}",20,3,-157.37912776618074,"{0: 8, 1: 0, 2: 5, 3: 2, 4: 2}",1
221,False,"{'a': 0.55, 'e': 0.10970064851551141}",25,1,-6.055336240971911,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
222,False,"{'a': 0.55, 'e': 0.10860910882495796}",20,6,-82.2432822379586,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
223,False,"{'a': 0.55, 'e': 0.10752843013579495}",20,16,8.137203999259539,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.55, 'e': 0.1064585043792528}",20,13,-35.90393890465832,"{0: 4, 1: 0, 2: 2, 3: 1, 4: 0}",1
225,False,"{'a': 0.55, 'e': 0.10539922456186433}",25,18,-29.210079316672147,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
226,False,"{'a': 0.55, 'e': 0.104350484754765}",25,19,-29.188555744546097,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
227,False,"{'a': 0.55, 'e': 0.1033121800831002}",20,0,-86.60416443455006,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
228,False,"{'a': 0.55, 'e': 0.10228420671553744}",20,14,13.375997956835425,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.55, 'e': 0.1012664618538834}",25,2,-147.03642133477277,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 3}",1
230,False,"{'a': 0.55, 'e': 0.1002588437228037}",25,18,-0.886341424378918,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
231,False,"{'a': 0.55, 'e': 0.09926125155964566}",25,15,-38.156920542945535,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
232,False,"{'a': 0.55, 'e': 0.09827358560436154}",20,0,-60.30709481047664,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
233,False,"{'a': 0.55, 'e': 0.09729574708953276}",25,14,-56.014658029369585,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
234,False,"{'a': 0.55, 'e': 0.09632763823049303}",20,8,9.997360141121275,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
235,False,"{'a': 0.55, 'e': 0.09536916221554961}",20,15,-13.704783248923206,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
236,False,"{'a': 0.55, 'e': 0.09442022319630235}",30,5,-179.54970753491185,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 4}",1
237,False,"{'a': 0.55, 'e': 0.09348072627805847}",30,15,-51.93938159262904,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 1}",1
238,False,"{'a': 0.55, 'e': 0.09255057751034329}",25,8,-4.496768265329326,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
239,False,"{'a': 0.55, 'e': 0.09162968387750484}",30,0,-45.85363090223369,"{0: 27, 1: 0, 2: 0, 3: 2, 4: 1}",0
240,False,"{'a': 0.55, 'e': 0.09071795328941251}",25,2,-62.91737954789473,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 2}",1
241,False,"{'a': 0.55, 'e': 0.08981529457224763}",20,14,-31.7221198853751,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
242,False,"{'a': 0.55, 'e': 0.08892161745938634}",25,0,-130.70416817695997,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
